"Question","SQL"
"What is the total quantity of ""Refrigerator"" sold in the first half of 2024?","SELECT SUM(Quantity) FROM ProductSales WHERE Product = 'Refrigerator' AND Date BETWEEN '2024-01-01' AND '2024-06-30';"
"Show total sales for each customer location in the last quarter of 2021.","SELECT CustomerLocation, SUM(TotalSales) AS TotalSalesByLocation FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2021 GROUP BY CustomerLocation ORDER BY TotalSalesByLocation DESC;"
"What is the total profit from sales in Q1 2023?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2023;"
"Which product was most profitable in the second quarter of 2022?","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2022 GROUP BY Product ORDER BY ProductProfit DESC LIMIT 1;"
"Show the total profit for each category in Q3 2024.","SELECT Category, SUM(TotalSales - (BaseCost * Quantity)) AS CategoryProfit FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2024 GROUP BY Category ORDER BY CategoryProfit DESC;"
"What was the average profit margin for ""Electronics"" in Q4 2021?","SELECT AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE Category = 'Electronics' AND QUARTER(Date) = 4 AND YEAR(Date) = 2021;"
"Which customer contributed the most to profit in Q1 2020?","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2020 GROUP BY CustomerName ORDER BY CustomerProfit DESC LIMIT 1;"
"Show the top 3 products by profit in the last quarter of 2019.","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2019 GROUP BY Product ORDER BY ProductProfit DESC LIMIT 3;"
"Compare the total profit of 'Footwear' between 2022 and 2023.","SELECT '2022' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE Category = 'Footwear' AND YEAR(Date) = 2022 UNION ALL SELECT '2023' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE Category = 'Footwear' AND YEAR(Date) = 2023;"
"What is the total profit from sales made using 'Credit Card' in Q2 2025?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE PaymentMethod = 'Credit Card' AND QUARTER(Date) = 2 AND YEAR(Date) = 2025;"
"Which customer location generated the least profit in Q3 2021?","SELECT CustomerLocation, SUM(TotalSales - (BaseCost * Quantity)) AS LocationProfit FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2021 GROUP BY CustomerLocation ORDER BY LocationProfit ASC LIMIT 1;"
"Show the monthly profit for 'Clothing' in 2024.","SELECT MONTH(Date) AS SalesMonth, SUM(TotalSales - (BaseCost * Quantity)) AS MonthlyProfit FROM ProductSales WHERE Category = 'Clothing' AND YEAR(Date) = 2024 GROUP BY SalesMonth ORDER BY SalesMonth;"
"What was the average profit margin for orders with 'Completed' status in Q1 2024?","SELECT AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE Status = 'Completed' AND QUARTER(Date) = 1 AND YEAR(Date) = 2024;"
"Find the total profit for ""Smartwatch"" in 2023.","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS SmartwatchProfit FROM ProductSales WHERE Product = 'Smartwatch' AND YEAR(Date) = 2023;"
"Show the total profit for each payment method in Q4 2020.","SELECT PaymentMethod, SUM(TotalSales - (BaseCost * Quantity)) AS MethodProfit FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2020 GROUP BY PaymentMethod ORDER BY MethodProfit DESC;"
"Which category had the highest average profit margin in 2022?","SELECT Category, AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE YEAR(Date) = 2022 GROUP BY Category ORDER BY AverageProfitMargin DESC LIMIT 1;"
"What is the profit from ""Running shoes"" sales in Q2 2019?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS RunningShoesProfit FROM ProductSales WHERE Product = 'Running shoes' AND QUARTER(Date) = 2 AND YEAR(Date) = 2019;"
"Compare the total profit from 'Online' payment methods (assuming 'Amazon Pay' and 'PayPal' are online) between 2021 and 2022.","SELECT '2021' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE PaymentMethod IN ('Amazon Pay', 'PayPal') AND YEAR(Date) = 2021 UNION ALL SELECT '2022' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE PaymentMethod IN ('Amazon Pay', 'PayPal') AND YEAR(Date) = 2022;"
"Show the total profit for each customer in Q3 2023.","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2023 GROUP BY CustomerName ORDER BY CustomerProfit DESC;"
"Which product generated the least profit in Q1 2025?","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2025 GROUP BY Product ORDER BY ProductProfit ASC LIMIT 1;"
"What was the total profit from ""Home Appliances"" sales in 2020?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS HomeAppliancesProfit FROM ProductSales WHERE Category = 'Home Appliances' AND YEAR(Date) = 2020;"
"Show the profit for each customer location in Q4 2024.","SELECT CustomerLocation, SUM(TotalSales - (BaseCost * Quantity)) AS LocationProfit FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2024 GROUP BY CustomerLocation ORDER BY LocationProfit DESC;"
"Find the average profit margin across all categories in 2019.","SELECT AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE YEAR(Date) = 2019;"
"Which category had the highest total profit in the last 7 years?","SELECT Category, SUM(TotalSales - (BaseCost * Quantity)) AS CategoryProfit FROM ProductSales WHERE Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 7 YEAR) GROUP BY Category ORDER BY CategoryProfit DESC LIMIT 1;"
"What is the total profit from sales of 'Jeans' in 2021 and 2022?","SELECT YEAR(Date) AS SalesYear, SUM(TotalSales - (BaseCost * Quantity)) AS JeansProfit FROM ProductSales WHERE Product = 'Jeans' AND YEAR(Date) IN (2021, 2022) GROUP BY SalesYear;"
"Show the profit of each customer for ""Books"" sales in 2023.","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerBookProfit FROM ProductSales WHERE Category = 'Books' AND YEAR(Date) = 2023 GROUP BY CustomerName ORDER BY CustomerBookProfit DESC;"
"What is the profit from each product sold in Q2 2024?","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2024 GROUP BY Product ORDER BY ProductProfit DESC;"
"Which payment method generated the most profit in Q1 2022?","SELECT PaymentMethod, SUM(TotalSales - (BaseCost * Quantity)) AS MethodProfit FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2022 GROUP BY PaymentMethod ORDER BY MethodProfit DESC LIMIT 1;"
"Show the total profit for sales where the status is 'Pending' in 2025.","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS PendingOrderProfit FROM ProductSales WHERE Status = 'Pending' AND YEAR(Date) = 2025;"
"Compare the average profit margin for 'Footwear' and 'Clothing' in 2023.","SELECT Category, AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales WHERE Category IN ('Footwear', 'Clothing') AND YEAR(Date) = 2023 GROUP BY Category;"
"Which customer made the most sales (in terms of count of OrderID) in 2024?","SELECT CustomerName, COUNT(OrderID) AS OrderCount FROM ProductSales WHERE YEAR(Date) = 2024 GROUP BY CustomerName ORDER BY OrderCount DESC LIMIT 1;"
"Which product was sold the most (quantity) in 2023?","SELECT Product, SUM(Quantity) AS TotalQuantitySold FROM ProductSales WHERE YEAR(Date) = 2023 GROUP BY Product ORDER BY TotalQuantitySold DESC LIMIT 1;"
"Who is the customer with the highest total sales in the dataset?","SELECT CustomerName, SUM(TotalSales) AS TotalCustomerSales FROM ProductSales GROUP BY CustomerName ORDER BY TotalCustomerSales DESC LIMIT 1;"
"Which product has the highest total sales historically?","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales GROUP BY Product ORDER BY TotalProductSales DESC LIMIT 1;"
"What are the top 5 customers by total sales in the last 2 years?","SELECT CustomerName, SUM(TotalSales) AS TotalCustomerSales FROM ProductSales WHERE Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 2 YEAR) GROUP BY CustomerName ORDER BY TotalCustomerSales DESC LIMIT 5;"
"Which category has generated the most sales in the last 3 years?","SELECT Category, SUM(TotalSales) AS TotalCategorySales FROM ProductSales WHERE Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 3 YEAR) GROUP BY Category ORDER BY TotalCategorySales DESC LIMIT 1;"
"How many distinct products did ""John Doe"" purchase?","SELECT COUNT(DISTINCT Product) FROM ProductSales WHERE CustomerName = 'John Doe';"
"What is the total quantity of ""Smartwatch"" sold to ""Jane Smith""?","SELECT SUM(Quantity) FROM ProductSales WHERE Product = 'Smartwatch' AND CustomerName = 'Jane Smith';"
"List all products bought by ""Maria"" in 2023.","SELECT DISTINCT Product FROM ProductSales WHERE CustomerName = 'Maria' AND YEAR(Date) = 2023;"
"Which customer bought the most ""Electronics"" products (by quantity)?","SELECT CustomerName, SUM(Quantity) AS TotalElectronicsQuantity FROM ProductSales WHERE Category = 'Electronics' GROUP BY CustomerName ORDER BY TotalElectronicsQuantity DESC LIMIT 1;"
"Find the customer who spent the most on a single order.","SELECT CustomerName, OrderID, TotalSales FROM ProductSales ORDER BY TotalSales DESC LIMIT 1;"
"Which product has the lowest average selling price?","SELECT Product, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales GROUP BY Product ORDER BY AverageSellingPrice ASC LIMIT 1;"
"How many times has ""Running shoes"" been sold?","SELECT COUNT(OrderID) FROM ProductSales WHERE Product = 'Running shoes';"
"List all customers who have purchased ""Laptop"" more than once.","SELECT CustomerName FROM ProductSales WHERE Product = 'Laptop' GROUP BY CustomerName HAVING COUNT(OrderID) > 1;"
